A: 	even kijken vierkant scherm 
A: 	doorheen 
A: 	kunnen je nog veel uitleggen 
A: 	voelsprietjes eens even kijken nog een keer en in het midden zijn een onderaan zijn een vierkant 
A: 	ah ja ja nu zien ik hem ja 
A: 	dat zijn zes 
B: 	het ja het doen mij een ja ja het aandoen mij denken aan een soort olifan maar dan weten ik natuurlijk niet of het jou daaraan doen denken 
B: 	nee hij hebben uit ja echt zo'n slurf aan de voorkant 
B: 	en dan lijken het net alsof die zo zeggen maar een armpje op houden 
B: 	en dan bovenop staan nog twee heel klein cilindertje 
B: 	naast elkaar 
B: 	ja er zitten een soort vierkant ding 
B: 	ja 
A: 	ja ik volgens mij hebben jij hem net benoemen ik weten niet veel precies hoe je hem hebben benoemen met die met die vierkant plaat 
A: 	aan de onderkant 
A: 	ja erdoorheen 
A: 	ik hebben het benoemen als glijbaan zeggen maar die voorste slurf die je zo zien dat dat een beetje een glijbaan kunnen zijn 
A: 	dat 
A: 	oké 
B: 	zo'n armpje zo zullen je het zo kunnen zien 
B: 	en 
B: 	ja ja dat zijn C 
A: 	de glijbaan waar staan die bij mij ? ik weten welk je bedoelen maar ik moeten hem even zoeken 
A: 	ja ik 
A: 	ah ja dertien 
B: 	dit zijn die met aan de voorkant een slurf 
B: 	boven op het hoofd twee ja cilindert of rechthoekje 
B: 	en het armp 
A: 	de glijbaan 
A: 	met dat vierkant erdoorheen zeggen maar in het midden 
B: 	de olifant even zeggen maar met de arm zo 
B: 	J 
A: 	de glijbaan 
A: 	ja dat zijn negen 
B: 	dit zijn de olifant met het armpje zo 
B: 	en het vierkant plateau erdoorheen 
B: 	bij mij staan die heel erg rechts 
B: 	nou toevallig 
A: 	glijbaan 
B: 	olifan met een armpje 
B: 	ja bij mij ook ja 
B: 	dat zijn N 
