A: 	ja 
A: 	ja 
A: 	ja nummer achten 
B: 	deze zijn ook wel 
B: 	ja 
B: 	het zijn zeggen maar ja er staan er zitten eigenlijk een balk bovenop 
B: 	een balk 
B: 	en dan 
B: 	aan de een kant ja een soort uitsteeksel dat zijn een soort ja ook een half cilinder denken ik en aan de ander kant ja ik zullen het ja ik hebben het omschrijven als een 
B: 	ja zo'n rad van een watermolen zeggen maar 
B: 	daar doen het me een beetje aan denken maar 
B: 	of het kunnen ook een armpje zijn 
B: 	dat iemand net een tas vasthouden 
B: 	nee het zijn één recht balk 
B: 	ja 
B: 	ja beetje ja 
B: 	ja je kunnen ook inderdaad zien net zoals dat ander zijn dit ook wel eigenlijk zo je kunnen het ook zien als een tas daar net een boek bovenuit steken 
B: 	ja ja ja 
B: 	ja 
B: 	E 
A: 	dit zijn de veel compact figuur er zitten er liggen een balk bovenop 
A: 	komen zo'n raar dinge nog uit 
A: 	en voor hij zijn zeggen maar echt het veel het het klein het zitten allemaal het dicht bij elkaar 
A: 	ja 
A: 	ja 
A: 	ja en aan de linkerkant zitten nog een 
A: 	ja 
A: 	maar aan de links kant zijn wel een ander dinge dan aan de rechterkant 
A: 	aan de linkerkant komen er zo'n 
A: 	ja 
A: 	ja 
A: 	en er liggen echt een balk bovenop 
B: 	ja dit zijn dat die klein boekentas 
A: 	oké 
A: 	ja 
A: 	dat zijn nummer één 
B: 	klein boekentas 
B: 	E 
A: 	dit zijn dat veel compact figuur waar die balk bovenop liggen 
A: 	ja 
B: 	dit zijn de klein boekentas 
B: 	de klein rugtas 
B: 	ja 
B: 	O 
A: 	ja 
A: 	nummer zestien 
A: 	ik hebben het veel compact figuur met dat balkje erbovenop en hij zitten bij mij helemaal links onderin 
