A: 	ja 
A: 	oké 
A: 	ja ik weten welk 
A: 	nummer vijf 
B: 	dit zijn deze hebben een plaat eronder 
B: 	en twee van twee van die staaf met driehoek of ruit 
B: 	ja ik denken aan antenne of iets dergelijk ja 
A: 	dit zijn dat ding met die twee ding aan de zijkant met die kraalt 
A: 	en dat rond ding voorop 
A: 	die kraalt ja 
A: 	ja 
A: 	nummer elf 
B: 	ja 
B: 	dat zijn J 
A: 	dit zijn dat ding met die twee ding aan de zijkant met die kraalt 
A: 	ja 
A: 	nummer negen 
B: 	dit zijn met die Pippi Langkousstaartjes 
A: 	dat poppet met die twee kralendinget 
B: 	oké 
B: 	dat zijn P 
B: 	dit zijn met de Pippi Langkousstaartjes 
B: 	dat zijn L 
