A: 	deze hebben zo'n trapezium als hoofd als hoofddeksel 
A: 	zo'n ja zeggen maar zo'n figuur 
A: 	ja zo zo kort erboven en dan lang zijdevlakik en dan onder weer een lang vlak 
A: 	hij hebben ook een neus 
A: 	die wat die wat platt zijn 
A: 	en hij hebben dat ja dat isteken waar ik het over hebben dat zijn die twee balk aan de rechterkant van zijn hoofd ja of eigenlijk links maar 
A: 	als een kip 
A: 	dat zien ik echt niet 
A: 	nog 
A: 	ja 
A: 	ja 
B: 	voorop hebben die twee van die balk of één groot 
B: 	ja maar allemaal aan de zijkant maar ik denken dat dat zijn voorkant zijn 
B: 	twee toch 
B: 	oké 
B: 	dat zijn even kijken dat zijn I 
A: 	ja ja de 
A: 	ja dat zijn twee 
B: 	dit zijn dat dat Angry die Angry Bird zeggen maar 
B: 	met die twee ding aan aan de zijkant wat denken ik de voorkant van hem zijn 
B: 	en dan met het slurfje erachter 
A: 	ik hebben de kip 
B: 	kijken 
B: 	oké dat zijn M 
B: 	dit zijn die Angry Bird 
B: 	even kijken waar dat zijn F 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	dat zijn niet dezelfde plek 
B: 	dit zijn die Angry Bird 
A: 	ik hebben de kip 
A: 	ja 
A: 	oké dat zijn nummer zes 
