A: 	oké dit zijn een een een kop met een soort hoedje en dan aan de linkerkant twee pilaart onder elkaar die niet zo lang zijn wel dezelfde lengte 
A: 	en aan de ander kant zitten ook nog een haakje en een ander uitsteekselt 
A: 	er zitten een haak aan de onderkant aan de linkerkant en nog een ander uitsteeksel 
A: 	aan de ander kant 
A: 	ja 
A: 	en een soort van hoedje ja 
B: 	ik vinden die ook op een vogel lijken 
B: 	ja 
B: 	dat zijn I bij mij 
A: 	zijn ook weer minpunt 
A: 	even kijken ja ja ja ja dat zijn twee 
A: 	dit zijn diegene met dat hoedje en die twee gelijk balk aan de rechterkant 
A: 	ja 
A: 	ja 
A: 	ik hebben hem 
A: 	negen 
B: 	dit zijn die op een vogel lijken 
B: 	met van die ja 
B: 	ja 
B: 	ja 
A: 	dit zijn diegene met dat hoedje en die twee gelijk balk aan de rechterkant 
B: 	ja 
B: 	dat zijn M 
A: 	yes waar hangen die ja dat zijn zes 
B: 	dit zijn die vogel 
B: 	met de vlakke afgevlakte driehoek 
B: 	ja dat zijn F 
B: 	dit zijn die vogel 
B: 	ja 
