B: 	bij mij staan hij op een groot vierkant rechthoek 
B: 	komen een soort van gebobbeld stang door de emmer 
B: 	rond voorop 
A: 	ja 
A: 	ja 
A: 	die zijn makkelijk dat zijn drie 
B: 	ja wat snel 
B: 	ja en hij zijn op dat platform 
B: 	ja 
B: 	I 
B: 	deze hebben de staaf met kralen door de achter de emmer heen en een rond voorop 
B: 	ja 
A: 	even kijken dit zijn die met het schotelt aan de voorkant met het gek klein dinge eraan 
B: 	okee o 
A: 	en met de drie ruit aan beide kant 
B: 	deze hebben de staal met kra erachter 
A: 	aan beide kant de ruit 
A: 	ja het schotel ervoor 
A: 	ja twee 
B: 	e 
A: 	dit zijn die met de ruit aan de bovenkant de torent 
A: 	en het schotelt voorop 
A: 	ja met de zes zes ruitjes ja 
A: 	met het zes ruit 
A: 	ja vijf 
A: 	dit zijn die met de zes ruit aan de bovenkant 
A: 	ja 
