B: 	okee link zitten een soort van staafje en aan de achterkant zitten een een een cirkelt 
B: 	zitten aan de achterkant die zien je niet zo die zien je maar voor de helft 
B: 	en onderaan zitten een soort van een 
A: 	ja 
B: 	ja wat zijn het bovenaan zitten trouwens rechtsbovenaan 
B: 	ja nee nee nee ja iets bread worden inderdaad 
B: 	ja ja een beetje rond 
A: 	achter zitten een rond 
B: 	en aan de achterkant zitten zo'n half zijn een die schijf die je maar voor de helft zien 
B: 	ja 
A: 	wat zitten er aan de onderkant 
A: 	kunnen je dat beschrijven 
A: 	het kunnen , al communicatie mogen 
A: 	ja 
A: 	ah oké 
A: 	maar wel erbovenop 
A: 	niet erbovenop 
A: 	ah oké ik denken dat ik het dan weten aan de onderkant lijken een soort voet te staan van een soort langwerpig kunnen 
A: 	zullen je dat zo kunnen zeggen 
A: 	en aan de linkerkant zijn inderdaad dat dat staafje voor die voor die vogel 
A: 	oké 
A: 	en dan een soort half cirkel die zichtbaar zijn en een soort lepel die er uit steken , aan de rechterkant 
A: 	veel ovaal 
A: 	ja 
A: 	link van elkaar die overlappen elkaar niet 
A: 	nee precies 
A: 	dan ik denken dat ik het dan weten 
A: 	ik moeten dan zeggen zes 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	links het staafje 
A: 	het ovaal vormpje en de half cirkel 
A: 	min of veel in het midden tussen die twee in toch 
A: 	ja en daar onder een soort voet waar het gewoon op tafel zullen kunnen staan zo 
A: 	ja 
A: 	ja zes 
B: 	ja 
B: 	h 
B: 	okee dit zijn die half schijf of die schijf aan de achterkant die je half zien 
B: 	ja die rond schijf 
B: 	ja 
B: 	gek 
B: 	ja ja ja g 
A: 	deze hebben een half cirkel links aan de achterkant , die zichtbaar zijn 
A: 	en aan de onderkant dat dat dat dat dat poo 
A: 	waar je hem op tafel zullen kunnen zetten en aan de linkerkant zijn een soort goo of een 
A: 	staafje en bovenop rechts zitten ook nog een ovaal 
A: 	ja 
B: 	ik hebben de de cirkel die je voor helft zien aan de achterkant 
B: 	ja 
B: 	dat zijn d 
A: 	ah ja 
A: 	even kijken 
A: 	en links ook een 
A: 	ja 
A: 	nummer drie 
A: 	ah ja deze zijn die met dat voe , met dat theekanachtig voe wat je op tafel zullen kunnen zetten , aan de linkerkant een soort 
A: 	ja cirkel achter 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn de met het theevoe dat je op tafel kunnen zetten en links zijn een uitsteeksel 
A: 	en bovenop een half cirkel 
