B: 	ja 
B: 	oké ja dan zijn het K 
A: 	oeh 
A: 	ik hebben beschrijven als zeggen maar iets van die elektrisch fiets 
A: 	deze hebben van die die twee hendel en dan zo'n mooi schermpje of zo 
A: 	waar de snelheid op staat en zo 
A: 	ja 
A: 	ja 
A: 	dat kunnen ook 
B: 	oké deze hebben die uitsteeksel met aan de zijkant een bol waarvan de een lang zijn dan de ander 
B: 	en aan de achterkant zitten wat ik vinden een beetje zo'n metselding lijken 
B: 	maar met zo'n balk zeggen maar zo'n plat en dan zijn nog een streepje daaraan 
B: 	ja 
B: 	ja ja ja 
B: 	oké 
B: 	ja ik moeten even zoeken waar die staan 
B: 	ja ik moeten alleen even zoeken waar die staan want anders hebben het ja ja oké ja ja dat zijn F 
A: 	ja 
A: 	ja 
A: 	ja oké 
A: 	negen 
B: 	oké 
B: 	ik hebben die met die twee uitsteeksel met een bol erop die niet even lang zijn 
B: 	en die metselding 
B: 	oké 
A: 	dit zijn ik weten niet veel wat je jij hier veel zeggen die handvat met die wat ik toen zeggen van die elektrisch fiets 
A: 	die honk die honk 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
B: 	ik hebben diegene met die uitsteeksel en een bol op erop en dan dat die ongelijk zijn aan twee kant 
B: 	ja staan weer anders 
A: 	ah weer opnieuw weten iets 
A: 	drie 
A: 	de Honkbalknop 
A: 	of hoe dat ding heten 
A: 	weer 
A: 	ja vijf 
