B: 	deze hebben twee voelsprieet bovenop 
B: 	en een vierkant vlak erdoorheen 
A: 	ja 
A: 	lang neus 
A: 	en die haak zijn een soort l-vorm 
A: 	okee 
A: 	twee 
B: 	met de sprieet bovenop 
B: 	p 
B: 	p 
B: 	het spriet bovenop en het rechtervlak door het midden 
B: 	g 
A: 	deze hebben het plateau zeggen maar dwars door zijn body en twee stekel midden op het hoofd 
B: 	vlak door het midden en twee spriet bovenop 
A: 	ja 
A: 	vijfteen 
B: 	d 
A: 	deze hebben een plateau door zijn die doorsnijden 
A: 	twee 
A: 	ja 
A: 	ja elf 
A: 	de 
A: 	het plateau dat doorsnijden 
A: 	het zullen ook een rok kunnen zijn 
