A: 	oké 
A: 	deze hebben zo een beetje zo'n afgeplatte piramide zo'n conus 
A: 	met twee van die uitstekend ding een beetje alsof er een vis op zijn zijkant liggen met twee van die uitstekend vinnet zo 
A: 	ja dat ja ja ja inderdaad 
A: 	oké 
B: 	even kijken horen 
B: 	o 
B: 	ja die ja ja dat o ik snapen je ja ja dat zijn bij mij ja I 
B: 	ok 
A: 	ja en dat conus bovenop 
A: 	ja nummer twee 
A: 	oké ik hebben weer die dat isteken aan de zijkant met dat afgeplatten conus erbovenop 
B: 	o dit zijn het het twitter icoon mij doen het beetje denken aan een koffiezetapparaat maar het twitter icoon die vinden ik iets veel er op lijken ja 
B: 	ok bij mij L 
B: 	o die zijn bij mij M 
B: 	ok 
A: 	oké ja nummer negen 
A: 	het isteken met dat conus bovenop 
A: 	isteken nummer zes 
B: 	het twitter poppetje 
B: 	even kijken waar die zijn o hier F 
B: 	Twitter poppetje 
B: 	ok bij mij H 
