A: 	dit vinden ik de heel tijd een kraan ik weten niet er zitten een je hebben zeggen maar een driehoek bovenop en dan hebben je twee van die ding eraan 
A: 	het zijn met de allermeeste uitsteeksel die je kunnen vinden 
A: 	de allerdruk 
A: 	ja met een ruitje en dan zitten daar van die twee 
A: 	ja en dan zo weer van die van die uitlaat en nog één als voorkant 
A: 	ja 
B: 	pion 
B: 	wachten even 
B: 	ja 
B: 	ja ja ja 
B: 	die hebben ik dat zijn M 
A: 	ja met zo'n ding eronder bedoelen je 
A: 	en dan twee van die ding nog zo 
A: 	maar je bedoelen die een met het ruit op het hoofd toch 
A: 	ja oké 
A: 	die twee ding die eruit ja oké 
A: 	negen 
B: 	oké dit zijn de poeh hebben een cilinder als wat jij zeggen Pinokkio die neus met onderaan zo'n 
B: 	slurfachtig rechts en dan bovenop zo'n twee van die ruit 
B: 	ja 
B: 	ja de pootjes ja ja 
A: 	dit zijn die met die dat die ruit met die Minecraftdingen en dan die uitlaat 
A: 	eronder 
A: 	ja aan de onderkant zitten nog zo'n uitsteeksel 
A: 	ja die wijzen naar voren ja ja sorry ja 
A: 	ja met die dat ding aan de onderkant ook toch 
A: 	ja dat zijn elf 
A: 	ja een kraan 
B: 	ja dat zijn h 
A: 	die kraan met die ruit en die 
A: 	even zoeken ja nummer veertien 
B: 	dit zijn de steel aan de voorkant met het poo onder pootje rechts en de rui 
B: 	ja 
B: 	D 
B: 	dit zijn voe onder voe rechts 
B: 	neus 
B: 	verrekijker met de ruit 
