B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja die iets spitser toekent alleen geen punt hebben 
B: 	ja 
B: 	I 
A: 	ja ik vinden deze op een vogel lijken 
A: 	het zijn met die hebben zo'n snavel met twee van die rechthoe die aan de rechterkant er uit komen en zo'n 
A: 	driehoek met de plat bovenkant er bovenop en dan zo'n dinge naar achteren met zo'n staart eronder die ook naar achter wijzen 
A: 	ja maar dan zonder ja je hebben er één met zo'n heel scherp piramide 
A: 	en dat zijn hem niet het zijn met het begin van de piramide maar de punt zijn er zeggen maar afsnijden 
A: 	toch ? ja dat lijken echt net 
A: 	ja dat zijn zeggen maar zijn snavel en dan hebben hij zo'n vleugel naar achter en van die staartvear naar achter 
A: 	die boog naar achter dus dat zijn echt een superduidelijk vogel 
A: 	ok 
B: 	met de deurklink en met twee van die dinget die eruit steken aan de rechterkant met dat spits toelopen punt bovenop 
B: 	dat geen punt hebben 
B: 	een soort omgekeerd badkuip 
B: 	beetje weten je met die 
B: 	ja rechthoeken ik vinden het wel rechthoek 
B: 	oké 
B: 	zullen we die de deurklink noemen 
B: 	oké top 
B: 	ja 
A: 	ja 
A: 	even kijken waar staan hij dat zijn nummer twee bij mij 
A: 	ja 
B: 	de deurklink 
B: 	ja 
A: 	ja dit zijn die vogel met zijn twee ding en zijn vleugel naar achter 
A: 	ja 
B: 	de deurklink 
A: 	dat zijn nummer negen 
A: 	dit zijn die vogel 
A: 	ja dat zijn nummer zes 
