A: 	ja ik weten het 
A: 	twaalf 
A: 	ik hebben een bol rechtsvoor 
A: 	en dat gek vormp zeggen maar één staaf aan de bovenkant en een gek vormp aan linksbof 
A: 	een soort dobber 
B: 	deze hebben ook vier dinget aan de de emmer , aan de beker 
B: 	beetje rechtsvoor zijn het een bal 
B: 	bovenop hebben hij er twee 
B: 	beetje in het midden zijn het een staafje 
B: 	ja 
B: 	ja ja ja 
A: 	bovenop 
A: 	ja 
A: 	dat vooraan met links naar link wijst die dobber 
A: 	negen 
A: 	ik hebben die dobber die linksboven wijzen 
A: 	onder ander een bol aan de rechterkant 
A: 	ja twaalf 
B: 	een bal 
B: 	ja 
B: 	dat zijn C 
A: 	ik hebben de dobber 
B: 	deze hebben een balle rechtsvoor en een gootje link 
B: 	nog iets link daarvan 
B: 	ja 
B: 	en een bal 
B: 	ja 
B: 	dat zijn H 
B: 	deze hebben we net ook , die liniaal die er boven uit komen , rechts een bal , gootje link 
B: 	ja 
B: 	ja G 
