B: 	ok ja ik ik noemen het zelf een neus 
B: 	en hij zijn doorboren 
B: 	ja 
A: 	oké hij hebben het zijn weer zo'n sprie 
B: 	ja of zo'n nerf pijlt 
A: 	en hij hebben het een soort neus maar dan met een piercing erdoorheen zeggen maar 
A: 	een heel gek piercing met aan één kant een 
B: 	ok ja dan zijn het voor mij F 
A: 	ja kunnen je ook wel zeggen denken ik 
A: 	oké 
A: 	ja 
A: 	dat zijn vijf 
A: 	dit zijn de neus met piercing 
A: 	dat zijn toevallig 
B: 	dit zijn met die doorboord neus en een lepeltje sprie kuifje 
A: 	vijf 
A: 	neus met piercing 
B: 	en die kuif 
B: 	ok dat zijn voor mij A 
B: 	dit zijn die doorboorde neus met de kuif 
A: 	ja 
A: 	vijftien 
B: 	ja dat zijn voor mij H 
B: 	dit zijn de doorboorde neus met een kuifje 
