A: 	ja 
A: 	driehoekding 
A: 	ja 
A: 	ja dat zijn bij mij nummer drie 
B: 	ah 
B: 	nou ja van al ander kop zeggen maar er zijn er niet zo veel die staan op een soort van plateautje 
B: 	en deze die staan op een soort van driehoekplateau met een twist omhoog 
B: 	een soort wokkel inderdaad 
B: 	een blok ja een blok 
B: 	zitten er rechts één en er zitten er één in denken ik 
B: 	en nog een ander uitsteeksel 
B: 	ik denken dat je hem wel weten 
A: 	deze staat op die draaien pilaar op de driehoek 
A: 	met de twee vierkant erbovenop 
A: 	en nog zo'n ander ding 
B: 	ja 
B: 	een wokkel omhoog ja 
B: 	ik ja ik gaan voor d 
A: 	ja 
A: 	dat zijn elf 
A: 	dit zijn die op die draaien pilaar op de driehoek 
A: 	ja dat zijn vier 
A: 	dit zijn met die draaien stok op de driehoek 
B: 	nou dit zijn diegene die op een twisterpoo staan 
B: 	een driehoekig 
B: 	ja 
B: 	yes 
B: 	dat zijn o 
B: 	het zijn grappig hoe dit werken vinden ik wel 
B: 	twisterkop met driehoek beneden 
B: 	ja 
B: 	dat zijn k 
