B: 	ja ja en dan zitten er nog een soort plateau bij of zo ja dat zijn dan L 
B: 	ja dit zijn eigenlijk diegene waarbij die spijker in dat uitsteeksel gaan met dat plateaut erbij 
B: 	je hebben zo'n ding en dat lijken zijn zeggen maar een een soort pacman of zo en daar gaan die spijker in 
B: 	ja 
A: 	dit zijn zo'n soort ja zo'n soort rond dienblaad of zo zullen je kunnen zeggen hebben die aan de linkerkant 
A: 	en aan de rechterkant zo'n raar uitsteeksel met zo'n heel groot trompet of 
A: 	ja zoiets 
A: 	ja 
A: 	en dat rond ding ervoor 
A: 	dat zijn bij mij nummer zeven 
B: 	ja dat zijn dan die omgekeerd eiffeltoren dat zijn dan C 
A: 	dit zijn met die rond schijf en die trompet 
B: 	ja dit zijn weer die pacman met die spijker en dat plateaut ernaast 
B: 	die omgekeerd Eiffeltoren 
B: 	ja 
B: 	ja hij hebben die die die omgekeerde die spijker of die spijker of zo die er die er in worden slaan die piramide Eiffeltoren plateau ja die 
B: 	ja ja dat zijn A 
A: 	ja 
A: 	nummer één bij mij 
B: 	ja ik hebben nu die met die spijker die in die pacman of zo gaan en dan dat plateaut er nog naast 
A: 	ik hebben nu die een met die trompet staan bij mij een beetje links in het midden 
A: 	ja 
A: 	ja 
A: 	nummer dertien 
