A: 	ja ik noemen 
A: 	ja ik noemen dat die robot 
A: 	ja 
A: 	ja precies 
A: 	dat zijn twee 
B: 	ja dit doen mij eigenlijk denken aan een man met een verrekijker en een antenne op zijn hoofd 
B: 	ja klpen ja ja dat zijn inderdaad dat 
B: 	ok bij mij B 
A: 	ja dit zijn die robot 
A: 	ja even kijken waar staan die 
A: 	negen zijn dat robot 
B: 	o die die even kijken waar die staan hier G 
B: 	ok 
B: 	o dit zijn dat robot dinge met verrekijker en die antenne 
B: 	ja 
B: 	ok bij mij B 
A: 	ja dat zijn die robot 
A: 	met de vierkant plaat 
B: 	o die D 
B: 	ja 
A: 	de robot even kijken één zijn dat bij mij 
A: 	dit zijn die robot 
B: 	o dit zijn de robot met de verrekijker en dan Antenne 
B: 	ok bij mij P 
B: 	o hier B 
B: 	ja welk ja ik weten niet of dat cijfer ok 
