A: 	oké ik noemen deze draaiemmer 
A: 	het zijn een het zijn die emmer voor met een ja staaf erdoorheen met twee rond knop aan de zijkant 
A: 	en dan ook nog zo'n zo'n paneel aan de achterkant 
A: 	tien 
B: 	ja nou die dat zien zitten allemaal aan de achterkant van dat ding 
B: 	of niet 
B: 	ik ik vinden hem een beetje op een honkbalknuppel lijken die achter een kop liggen 
B: 	ja 
B: 	K 
A: 	met het met dat paneel erachter 
A: 	oké ja 
A: 	welk zijn het 
A: 	B negen 
B: 	nu hebben ik weer die met die met die hoe heten dat ? met die honkbalknuppel 
A: 	draaiemmer degeen de emmer met een staaf erdoorheen die jij arm noemen 
A: 	paneel op de achterkant 
A: 	zeven 
B: 	ja 
B: 	honkbalknuppel 
B: 	ja 
B: 	even kijken dat zijn F 
A: 	ja 
A: 	K drie 
B: 	die honkbalknuppel 
B: 	hebben ik nu 
A: 	oké jou arm met dat paneel aan de achterkant 
A: 	veertien 
A: 	ja 
A: 	M vijf 
B: 	ja 
B: 	L 
B: 	die honkbalknuppel 
B: 	of elektrisch fiets 
