A: 	oké ik hebben er één ik hebben het het zijn een een het cupje en 
A: 	het hebben een soort van bolle eraan aan de rechterkant met een staafje erdoorheen 
A: 	en een soort van ja zuignap zullen ik het willen omschrijven 
A: 	zeggen maar zo'n soort zeepbakje die in de douche hangen 
A: 	en 
A: 	één zo'n stok erbovenop 
B: 	en zitten het schotelt echt onder het 
A: 	ja 
B: 	aan het voorkant 
B: 	ja 
B: 	ja 
B: 	ja precies dat zijn bij mij nummer F denken ik 
B: 	moeten je op de geel drukken ja toch ? 
A: 	ja ja en dan dat dinge aan de 
A: 	dat zijn nummer vijf 
B: 	ik hebben het eivormig deel voor 
B: 	twee zeggen maar dat eivormig deel lijken het balkje te doorsplitsen en aan het eind van het balk zitten dan een plat cirkel 
B: 	en dan steken daarboven nog een klein frommel uit 
B: 	yes 
A: 	zuignap 
B: 	ja dat zijn dan denken ik de A 
B: 	ja 
A: 	ja vijf 
B: 	ik hebben degeen met een plat cirkel aan de rechterkant 
B: 	volgen door een klein cilinder 
B: 	een rond vorm 
B: 	weer een klein of klein balk en dan aan de linkerkant dat uitstekend lepeltjeidee 
A: 	het zuignap 
B: 	ah ja 
B: 	bij mij zijn dat nummer H 
A: 	ja nummer vijftien 
B: 	ik hebben degeen met een soort ei voor 
B: 	dan waar twee balk uit komen rechts een plat cirkel als afsluiter en links dat 
