A: 	o deze lijken op flappy bird 
A: 	o misschien moeten je dat zien als je zeggen maar het zijn gewoon die mok dan en daarboven zitten nee aan de rechterkant zitten zeggen maar een isteken 
A: 	dat zijn wat jij net zeggen 
A: 	ja 
A: 	ja 
B: 	een vogel 
B: 	nee 
B: 	oké 
B: 	ja ja zijn zo'n soort isteken 
B: 	ja 
B: 	zo'n soort isteken 
B: 	ja ja 
B: 	ja zo'n soort ja 
B: 	met zo'n 
B: 	ja 
B: 	ja ik vinden het veel een soort isteken maar het zijn inderdaad wel een soort vogel dus dat zijn bij mij I 
A: 	ja die weten ik meteen twee 
B: 	oké nou hebben ik die vogel 
B: 	in zo'n web zo ja 
A: 	flappy bird 
A: 	voor jou 
B: 	oké even kijken dat zijn bij mij M 
A: 	goed zo 
A: 	negen 
A: 	ja ik zullen ik zijn even naar dat ding aan het kijken o o negen trouwens nou en ik denken van 
A: 	eerst zien ik er niks in en toen zeggen het lijken het op een mens en toen keek ik even goed en toen lijken het flappy bird 
B: 	nu hebben ik die vogel 
A: 	flappy bird 
A: 	bij mij zitten hij onderin niet voorzeggen 
B: 	de vogel dat zijn F 
A: 	ja zes 
B: 	kunnen ook niet 
B: 	die vogel 
