A: 	ja dat zijn nummer vier 
B: 	ja 
B: 	oké dit zijn eigenlijk een beetje nou dat zijn dat zijn gewoon de denken de lang van allemaal en dan van onder zijn eigenlijk een soort orkaan 
B: 	vinden ik 
B: 	ja zo'n twister 
B: 	en bovenop zien je twee blok en één zo'n 
B: 	ja dat zijn de goed 
B: 	ja ja 
A: 	dit zijn die een waar zo'n draaien staaf onderuit komen 
A: 	die waar een staat op een driehoek 
A: 	en dan een blok rechtsbof daarna nog een middelblokje en zo'n ding 
B: 	waar hebben ik die alweer zien 
B: 	ja 
B: 	A 
B: 	dit zijn die trofee 
A: 	ja 
A: 	ja 
A: 	op die driehoekig standaard dan 
A: 	ja nummer tien 
B: 	trofee 
B: 	L 
A: 	deze zijn die die voetbaltrofee 
A: 	waar dat dat die op dat driehoek 
B: 	dit zijn de trofee 
B: 	de bokaal 
B: 	F 
A: 	ja die staan dat zijn nummer vier 
A: 	dit zijn de voetbaltrofee 
