A: 	ja en dan zijn zijn er zitten hij door een vierkant heen 
B: 	ja nu zijn ik weer het zijn ja eigenlijk het zijn zeggen maar het zitten eigenlijk zitten er een plaat in het midden 
A: 	ja ok zes 
B: 	en eigenlijk lijken het een beetje op een glijbaan 
B: 	tenminste ik zullen het en dan zitten er ja het zijn dat kop dus met de plaat in het midden 
B: 	en boven staan eigenlijk twee punt 
B: 	of twee streep eigenlijk 
B: 	zullen een 
B: 	ja 
B: 	ja 
A: 	deze zijn hebben een vierkant blok door zich heen ? en die twee blok er op zegmaar 
A: 	alleen die twee blok en dan zo'n rond cilinder ook die er uit steken en een vierkant haak 
A: 	ja 
A: 	ja ja ja 
B: 	ah ja 
B: 	C 
A: 	ja dertien 
B: 	dit zijn die glijbaan 
B: 	ja 
A: 	de kom met het tutuu en die twin towers er op 
B: 	glijbaan waar zijn je 
B: 	ah 
B: 	J 
A: 	negen 
A: 	die met dat vierkan er doorheen zegmaar en dan die twee torent er op 
B: 	dit zijn de glijbaan 
A: 	ja 
B: 	ah ja 
B: 	ja 
B: 	N 
