A: 	oké ja ik hebben het als met die drie woord hebben ik het eigenlijk beschrijven als een neus neuspiercing je zien gewoon een bol erop en 
A: 	een vierkant staaf gaan erdoorheen met op het einde aan die staaf zitten een cirkel en dan hebben die nog zo'n pluk pluk haar of zo ja 
B: 	nou vertel 
B: 	ja alsof er een bloeme doorheen zitten 
B: 	ja 
B: 	dan weten ik het dan zijn het F 
A: 	oké 
A: 	ja even kijken ja vijf 
B: 	dit zijn het piercingpoppe 
B: 	met de bol neus en daardoorheen een 
B: 	ja 
A: 	neuspiercing 
B: 	neus met piercing dat zijn A 
A: 	neuspiercing dat zijn vijf 
B: 	dit zijn de de neus met piercing 
B: 	en het pluk bovenop 
A: 	de neuspiercing 
B: 	neus met piercing H 
A: 	nee 
A: 	de neuspiercing 
A: 	ah ja vijftien 
B: 	dit zijn het piercingpoppe 
