A: 	wachten even hoor hij hebben een bol bovenop 
A: 	niet bovenop 
A: 	en hij hebben niet de staaf erdoor en hij hebben twee van die dinget boven 
A: 	en nog één aan de zijkant 
A: 	oké dan zijn het nummer veertien 
B: 	deze hebben drie uitsteeksel en aan de voorkant een bol 
B: 	de links zijn een driehoek en de bovenste een vierkant en de ander een beetje een gek vorm 
B: 	ja 
B: 	die ja 
A: 	deze hebben boven twee verschillend een rechthoek en een soort bowlingkegel 
A: 	en hij hebben een groot dik bol aan de rechterkant 
B: 	ja 
B: 	dat zijn bij mij N 
A: 	met die bol op de zijkant en die twee dinget boven 
A: 	oké dat zijn bij mij negen 
B: 	deze hebben drie uitsteeksel 
B: 	en een bolle aan de voorkant een vierkan bovenop en link driehoek en het ruit met een bobbel eraan 
A: 	deze zijn weer met dat die rechthoek en die soort kegel bovenop en dan die heel dik bol aan de rechterkant 
A: 	ja die twee dinget zijn niet hetzelfde 
A: 	oké dan zijn het bij mij nummer vijf 
A: 	deze hebben die twee dinget bovenaan 
A: 	die kegel en dat die rechthoek en die groot bol aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	dit zijn met dat driehoekje aan de linkerkant en nog twee ding bovenop en de bol aan de rechterkant 
B: 	er zitten een plat rechthoek bovenop en het ruit met iets eraan aan de bovenkant 
B: 	nee 
B: 	aan de linkerkant zijn een uitstekend driehoek 
B: 	die zo ja 
B: 	en aan de rechterkant een bol 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
