A: 	nou we hebben weer de hoofdvorm 
A: 	hier staan ook een soort feestmutsje 
A: 	zo'n figuur bovenop de bak 
A: 	aan de voorkant beetje rechtsvoor hebben je een soort van vierkant yoghurtbak die eraan vastgeplakt zijn 
A: 	link hebben hij een uitsteeksel en linksonder nog soort van rond 
A: 	even kijken horen 
A: 	wachten ja 
A: 	ja 
A: 	ja 
A: 	schuin rechts denken ik 
A: 	en linksonder dan een cirkel 
A: 	ja okee dat zijn nummer een 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dan zijn het p 
A: 	de hoofdvorm hebben een weer feestmuts op 
A: 	rechtsvoor hebben hij een yoghurtbeker op zich plakken 
A: 	linksvoor onderaan zitten een cirkel 
A: 	ja nummer drie 
B: 	dit zijn met die tipitent 
B: 	ja 
B: 	ja 
B: 	helemaal 
A: 	deze hoofdvorm hebben een yoghurtbakje erop plken rechtsvoor 
A: 	en hebben een feestmuts op 
A: 	linksvoor en een cirkelt 
B: 	ja dat zijn d 
A: 	okee nummer veertien 
B: 	de heel tipitent 
B: 	ja 
B: 	ik denken al 
B: 	ja m 
B: 	heel tipitent toch 
B: 	okee 
B: 	dan zijn het m 
B: 	de heel tipitent 
