B: 	rood 
B: 	oké deze dit zijn die trofee die echt op die spiraal staan 
B: 	ja ja ja ja en 
B: 	dat kunnen er maar één zijn 
A: 	en een 
A: 	het waar die op staat zijn een soort driehoek soort taartpunt 
A: 	met een draaien steel 
A: 	de ijscoupe 
A: 	met twee blok ijs 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	ja die op dat op dat driehoekig voetstuk 
B: 	ja 
B: 	dat zijn bij mij zijn dat A 
A: 	en de ijscoupe 
B: 	dit zijn de trofee 
B: 	op het voetstuk 
B: 	yes 
B: 	dat zijn L 
B: 	dit zijn de trofee 
B: 	op het voetstuk 
B: 	F 
A: 	ijscoupe waar zijn je ? ah 
A: 	ja 
A: 	nummer tien 
A: 	de ijscoupe 
A: 	ja 
A: 	check 
A: 	nummer vier 
A: 	de ijscoupe 
