A: 	deze zijn hebben echt een een scherp piramide bovenop 
A: 	met nog een gek soort vierkant driehoekdinge aan de zijkant en 
A: 	ja ik weten niet eens wat het voor moeten stellen maar 
B: 	o ja ja dat ik weten welk je bedoelen 
B: 	ja ja dat zijn bij mij J 
B: 	ok dan moeten ik klikken 
A: 	oké 
A: 	ja 
A: 	inderdaad en dat een piele nog klein kogelpiele aan de ander kant 
A: 	ja 
A: 	nummer zes 
B: 	dit zijn dat een met dat punt punt punthoedje eigenlijk vinden ik het een beetje er bovenop 
B: 	en 
B: 	ja ja 
B: 	ok bij mij H 
A: 	dit zijn weer met die puntig piramide aan de bovenkant en dan dat groot blokkie aan deze kant en het klein kogelpiele aan die kant 
A: 	top 
A: 	ja 
A: 	ja 
A: 	waar zijn die ? tien 
B: 	dat zijn E bij mij 
A: 	oké deze hebben weer die piramide bovenop en dan die kogel aan één kant 
A: 	en met de 
A: 	er zijn ook geen ander die dat doen hebben 
B: 	o dit zijn die een met dat hoed boven en voor zo'n afgesneden piramide achtig iets ja 
B: 	ok bij mij A 
A: 	tien 
B: 	even kijken o daar o G 
B: 	dit zijn weer dat dat ja hoedje voorop en dat driehoekje afsnijden ja 
B: 	ok bij mij K 
