B: 	okee dat zijn g 
A: 	dit zijn er één met een bol op op zijn hoofd ik denken dat er maar één van zijn 
A: 	een staaf aan de kant waar wij van kijken 
A: 	en nog twee staf links en rechts 
A: 	ja 
B: 	ze zijn veranderen 
B: 	okeeen deze hebben de de lang recht balk van boven naar beneden aan de voorkant 
A: 	nee één en dan mogen jij drukken ja 
A: 	aan de voorkant rechtsvoor 
A: 	ja 
A: 	okee 
A: 	zes 
B: 	h 
B: 	de balk van boven naar beneden aan de voorkant 
B: 	b 
B: 	de recht balk van boven naar beneden 
A: 	deze hebben een bol op zijn hoofd 
A: 	twee of een staaf aan de voorkant rechtsvoor 
A: 	ja 
A: 	hebben je acht 
A: 	bal op hoofd 
A: 	bol op hoofd 
A: 	volgens mij zijn er maar één 
A: 	maar zijn het een bol of een half 
A: 	als 
A: 	ja precies 
A: 	sumoworstelaar twee 
