B: 	ik hebben het vierkant volgens mij 
B: 	het zijn nou ja die basisvorm en dan zitten er een half cirkel achter 
B: 	met aan de linkerkant zijn een soort van armpje wat uitsteekt en dan zitten er een soort van 
B: 	ja 
B: 	ja 
A: 	ah 
A: 	cool 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	hij staan op een poo 
A: 	ja 
A: 	aan de linkerkant 
A: 	en hij staan op een ja ja ja 
A: 	alleen een rond schijf niet zo'n uitsteeksel zeggen maar 
A: 	bummer 
A: 	ah ja en een rond schijf aan de achterkant inderdaad 
A: 	ja oké 
A: 	dan moeten ik op de knop drukken nummer dertien 
A: 	en dan op de geel knop 
B: 	ja ja dat zijn O 
B: 	shit 
B: 	ik hebben het rood licht sorry 
B: 	het zijn die die op een soort van dinge staan waardoor het lijken alsof hij poo hebben en hij hebben die half cirkel daarachter 
B: 	en een kegel 
A: 	het zijn degeen die die die staan op een op een balk 
A: 	met één spatel erin en een Pinokkioneus 
A: 	ja 
A: 	ja 
A: 	ja rond schijf en een Pinokkioneus 
A: 	ja oké 
A: 	nummer achten 
B: 	ja C 
B: 	het zijn die met die soort van beent en met die half cirkel erachter 
B: 	ja 
A: 	de de Pinokkio 
A: 	met één lepel en een schijf aan de achterkant 
B: 	ja 
B: 	C 
B: 	ik hopen niet dat we nog lang moeten staan 
B: 	klaar mee 
A: 	ja 
A: 	even zoeken 
A: 	daar 
A: 	met de met de Ronde schijf aan de achterkant 
A: 	ja 
A: 	dit zijn nummer zeven 
A: 	de Pinokkio neus 
A: 	met de rond schijf 
A: 	op de achterkant 
A: 	staan rechtsboven bij mij 
A: 	maar die staan draaien met de picknicktafel 
A: 	oké super 
