A: 	er zitten een bovenop zitten een driehoek met twee staaf aan de zijkant eruit 
A: 	en dan zitten ervoor nog een neus en daaronder nog een staart 
A: 	en aan de zijkant ook nog iets 
A: 	ja 
B: 	ja 
B: 	en 
B: 	ja rechtsvoor of zoiets 
B: 	en die poot hebben een soort van kromming toch 
B: 	ja 
B: 	okee dat zijn bij mij à 
A: 	ja 
A: 	met 
A: 	ja 
A: 	ja 
A: 	ja en aan de bovenkant zijn de driehoek 
A: 	ja 
A: 	ja 
A: 	negen 
B: 	deze hebben onder en rechts kapstokding en naar voren steken ook een staaf en bovenop zijn een een vierkant met een punt die met de punt zeggen maar erin zitten 
B: 	ja 
A: 	bovenop zitten een driehoek met twee van die pixelachtig dinget daaruit 
A: 	onderop zitten die staart 
A: 	en dan hebben je nog voor en aan de rechterkant nog twee dinget eruit komen 
A: 	bovenop die driehoek 
A: 	met twee pixel dinge 
A: 	ja 
A: 	en dan een staart aan de onderkant 
A: 	ja 
B: 	ja dat zijn o 
B: 	dit zijn met onder en rechts de kapstokhak en bovenop een plat vierkant 
B: 	ja 
A: 	zitten er aan de rechterkant twee streepjes uit 
A: 	ja 
A: 	oké vijfteen 
B: 	daar ja ja het spiegelen een beetje onder een plat ja dat zijn à 
A: 	driehoek aan de bovenkant met twee van die pixeldinge eruit 
B: 	de de kapstokk onder en rechts 
A: 	ja 
A: 	en een staart aan de ander kant 
A: 	vijf 
