B: 	ja J 
A: 	oké ik we noemen dit man met de puntmuts het zijn eigenlijk de enig die zo'n soort van punt op zijn ding hebben en dan hebben die een soort van heel groot dik neus aan de rechts kant zitten 
B: 	het zijn die met de driehoek erbovenop 
A: 	en een soort van ja wat zijn het ? een soort van punt van een potlood wat dan aan de zijkant erin prikken of zo 
B: 	en die 
B: 	ja vinden E 
A: 	ja die staan bij mij sorry 
A: 	ja ik zien hem dat zijn nummer zes 
B: 	het zijn de driehoek erbovenop 
A: 	dit zijn die een met de puntmuts en die heel groot neus 
A: 	ja 
A: 	ja nummer tien 
B: 	ja bij mij staan die daar ook het zijn G 
B: 	het zijn die driehoek 
B: 	ja Sorry 
A: 	dit zijn de puntmuts met de groot neus 
A: 	ja nummer tien 
