B: 	ja deze hebben eigenlijk bovenop liggen er een soort een een een staaf of een blok liggen er echt bovenop liggen 
B: 	en aan de zijkant steken een beetje een één één ja rond vormig ding uit worden steeds groot 
B: 	volgens mij zitten die ook nog aan de ander kant maar dat vallen net ergens achter en dan hebben je een soort veegje met een met een buisje er in die rechtop staan 
A: 	zijn dat die soort balk of zo die erop liggen 
A: 	ja 
A: 	oké en die bovenop zijn echt één liggen liggen balk 
A: 	oké ja dan zijn het bij mij nummer achten 
B: 	ja 
B: 	en bij dat met dat buisje of zo met dat met dat dinge waar het op staan ja dat zijn dan E 
A: 	ja deze zijn met die balk erboven zeggen maar 
A: 	en dat dinge met zo'n klein staafje erop 
A: 	en aan de ander kant zitten ja jij noemen het vleugeltjes 
A: 	ja 
B: 	ja dit zijn diegene die dat balkje bovenop hebben maar die dan liggen en weer dat dinge aan de zijkant dat rond zijn en groot worden 
B: 	en dan nog dat balkje dat ergens op staat en aan de ander kant ook zoiets 
A: 	ja 
A: 	dat zijn bij mij nummer één 
B: 	ja 
B: 	ja dat zijn dan E 
B: 	ja dit zijn diegene waarbij die balk plat erop liggen die cirkel aan de zijkant die steeds groot worden die aan beide kant zitten en dan dat buis nog dat er aan vast zitten 
A: 	ja ik hebben nu die een met die balk erop en die vleugel aan de zijkant 
A: 	staan bij mij een beetje link 
B: 	ja 
A: 	ja ik denken ik kijken even waar jij naartoe kijken 
A: 	daar zo daaronder 
A: 	nummer zestien 
A: 	staan bij mij linksonder met zo'n balk erboven en die vleugel 
A: 	deze staat wel ongeveer op dezelfde plek 
