A: 	okee er zitten een bal bovenop op het kop 
A: 	en er staan een vierkant staaf naast een beetje naar de rechterkant 
A: 	ja 
A: 	en er steken nog twee klein cilindertjes doorheen 
A: 	ja 
A: 	de bal bovenop ja 
A: 	ja 
B: 	ja 
B: 	soort houten lat 
B: 	zijn die verticaal 
B: 	okee ja 
B: 	ja 
B: 	okee dan denken ik dat ik hem ook wel weten 
B: 	ik gaan voor g 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	yes 
A: 	ja dat zijn nummer zeven 
B: 	ah bij bij dit kop lijken het alsof er een ei bovenin liggen 
B: 	en er zitten aan de voorkant zitten een een een lat 
B: 	verticaal 
B: 	en je hebben nog een uitsteeksel aan de linkerkant 
B: 	die krom lopen 
B: 	en aan de achterkant hebben je ook nog een uitsteeksel 
B: 	ja 
A: 	kijken dit zijn die met de bal erbovenop en nog een een staaf rechtsvoor en nog twee dinget erdoorheen 
A: 	yes achten 
A: 	met de bal daar bovenop en de staaf rechtsvoor 
A: 	yes dat zijn tien 
B: 	je hebben ja ja toch ? ja 
B: 	het gaan echt om het zoeken inderdaad ja ja 
B: 	ja 
B: 	uitsteeksel aan de zijkant 
B: 	dat zijn c voor mij 
B: 	hier liggen het eit bovenin het kop 
B: 	met een verticaal lat aan de voorkant en twee uitsteeksel naar beide kant 
B: 	dat zijn d 
B: 	ei bovenop met een lat verticaal aan de voorkant 
