B: 	een rond 
B: 	ja link zo'n soort uitschuiftelescoop 
B: 	ja 
B: 	dat zijn de letter J 
A: 	ja dit vinden ik echt van alles wat ik hebben er maar een beetje een misvormd gezicht van maken 
A: 	sowieso die basisvorm 
A: 	daarbij een wel echt een spits kegel op het hoofd 
A: 	ja schuin naar voren eigenlijk een soort piramide die niet helemaal doorlopen die halverwege zijn afsnijden 
A: 	dan schuin naar achter eigenlijk nog een puntig toelopen iets 
A: 	en dan ergens onder nog een half cirkel of ja een cirkelvorm 
A: 	ja 
A: 	ja 
B: 	even kijken deze hebben dat plat of driehoekje boven uitsteken en de telescoop aan de zijkant aan de linkerkant 
B: 	de 
A: 	die groot spits en die ergens tegenaan zijn zwemmen 
A: 	dat zijn nummer zes bij mij 
B: 	oké 
B: 	ja dat zijn E voor mij 
A: 	dit zijn die vis die ergens tegenaan zijn zwemmen 
A: 	en met dat puntmuts op 
B: 	dit zijn die met het het plat driehoekje bovenop en de telescoop aan de linkerkant 
A: 	gestoten 
A: 	ja 
A: 	dat zijn nummer tien bij mij 
B: 	ik weten welk je bedoelen 
B: 	ja 
B: 	dat zijn G 
B: 	het plat driehoekje met de telescoop 
A: 	dit zijn weer die gek vis die ergens tegenaan zijn zwemmen 
A: 	gestoten 
A: 	ja dat zijn nummer tien 
