A: 	oké 
A: 	aan de bovenkant zitten eigenlijk dat vormp wat we net niet echt kenden alleen dan iets groot 
A: 	ja dus eigenlijk een soort driehoek maar dan zonder punt 
A: 	die zijn afsnijden 
A: 	ja zitten twee streep 
A: 	ja 
B: 	okee 
B: 	okee en hebben je wachten je hebben dus twee van die blok die in de zijkant zitten 
B: 	ja ja ja en en dan hebben je linksonder nog iets 
B: 	ja ja en daar iets boven zitten een 
B: 	ja 
B: 	ja 
B: 	dan zijn het I ja 
A: 	ja 
A: 	ik weten welk je bedoelen , nummer zestien 
A: 	oké dit hebben weer aan de bovenkant een half piramide die laten maar zeggen afsnijden zijn 
A: 	en aan de of aan de rechterkant zijn twee rechthoe 
A: 	die uitsteken 
A: 	even groot 
B: 	deze hebben een één één een soort van een bak op de bovenkant 
B: 	een 
B: 	en aan de zijkant twee van die blok 
B: 	echt aan de aan de rechterzijkant twee identiek blok 
B: 	okee aan de zijkant hebben je aan de onderkant zitten daar iets 
B: 	zo'n kromming 
B: 	ja en één en daarnaast daar hebben je nog zo'n soort van ook iets wat uitsteken toch 
B: 	daarboven ja ja 
B: 	okee dat zijn à 
A: 	kijken moeten nog even zoeken waar die staan 
A: 	ja 
A: 	nummer vijfteen 
A: 	oké deze hebben aan de rechterkant twee gelijkvormig rechthoe 
A: 	en een half piramide eigenlijk driehoekje 
A: 	die afsnijden zijn 
B: 	deze zijn met dat bak aan de bovenkant met die twee identiek rechthoe aan de zijkant 
A: 	ja nummer zestien 
B: 	okee 
B: 	ja 
B: 	ah ja ja dat zijn f 
B: 	dit zijn met dat ja met die identiek blok aan de zijkant rechterzijkant 
B: 	en bovenop hebben je 
B: 	ja 
B: 	okee 
