B: 	oké 
B: 	er zitten een vlak doorheen 
B: 	en er zitten twee dinge bovenaan uit 
B: 	ja 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	oké dat zijn zes 
B: 	ja ja 
B: 	ja dat zijn C 
B: 	oké ik hebben diegene met die plaat erdoorheen en dan twee uitsteeksel en nog twee in het midden zeggen maar 
A: 	dit zijn weer met zo'n zo'n plat schijf erdoorheen 
A: 	en dan twee klein balk erbovenuit 
A: 	en een soort glijbaan naar beneden aan de voorkant en dan nog een armpje die zo omhoog steken 
B: 	oké 
B: 	ja 
B: 	ja dat zijn J 
A: 	ja ja ja 
A: 	dertien 
B: 	oké bij mij ik hebben die met de er erdoorheen en dan twee klein uitsteeksel erboven 
B: 	en zo'n soort van ik vinden het een pijp lijken 
B: 	oké 
A: 	dit zijn die een met de glijbaan en en een vierkant door het kop heen 
A: 	ja ja ja 
B: 	ja dat zijn N 
A: 	dat zijn negen 
A: 	dit zijn de glijbaan 
A: 	met die schoorsteen 
