B: 	oké ik hebben die met dat gedraaide stuk eronder dat eruit steken 
B: 	en dan eindigen het op zo'n driehoekig kaas 
B: 	oké 
A: 	ja dat zijn een soort man wat aan het dansen zijn wat zo aan het twisten zijn 
A: 	oké 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	ja ja dat zijn a bij mij 
A: 	dit zijn die dansen man 
A: 	met op dat voetstuk 
A: 	met die spiraal 
A: 	ja 
B: 	awesome 
B: 	weer dat gedraaide ding eronder dat eindigen 
B: 	ja 
A: 	ja 
A: 	nummer tien 
B: 	oké ja de L bij mij 
A: 	de trofee 
A: 	met die spiraal 
B: 	oké weer dat met het gedraaide eronder 
A: 	dat zijn nummer vier 
B: 	oké top 
B: 	ja F 
A: 	de trofee 
