A: 	aan de voorkant 
A: 	ja 
A: 	even kijken bovenop een rechthoek 
A: 	en een kegel 
A: 	en je zeggen link zitten een soort driehoek , toch 
A: 	die iets uittrekken zijn 
A: 	ja en de ander oké 
A: 	dan nummer vijfteen 
B: 	deze zijn een een ei-achtig vorm vooraan 
B: 	waarbij dus het zijn twee object dus vooraan dat eivormig ding en een ja 
B: 	een soort van 
B: 	ja precies 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	een balle hebben je en die zitten eigenlijk aan de rechterkant 
A: 	en daar boven hebben je twee uitstulpel 
A: 	één met een soort rechthoekig vierkant helemaal recht omhoog 
A: 	en je hebben een ja hoe noemen je dat 
A: 	ja een kegel 
A: 	ja 
A: 	top 
A: 	ja 
B: 	ja en aan de zijkant steken nog zo'n zo'n ook dinge uit 
B: 	ja 
B: 	okee dat zijn b 
A: 	ja en dan met een bolle en een 
A: 	toch 
A: 	jij hebben ook , ja , nummer dertien 
B: 	deze zijn die die bal aan de aan de voorkant 
B: 	dan hebben je bovenop een een klein rechthoekje staan en een kegeltje 
A: 	hier hebben je een balle 
A: 	rechts in het midden van het kop 
A: 	daar boven hebben je een vierkant rechthoek dat helemaal uitsteken en een soort kegeltje 
A: 	even kijken rond aan de voorkant 
A: 	rechthoek oké ja nummer vier 
A: 	oké recht staafje bovenop en een kegel op zijn kop 
A: 	met een rond aan de rechterkant en een 
B: 	ja 
B: 	ja ja o 
B: 	dit zijn met de bol aan de voorkant 
B: 	en een rechthoek en een kegel aan de bovenkant 
B: 	ja 
B: 	ja 
B: 	dat zijn b 
