A: 	ik hebben nu een mok die hebben een soort van hoedje op eigenlijk 
A: 	en aan de rechterkant komen er twee balk uit die even groot zijn 
A: 	linksonder zitten 
A: 	ja 
A: 	op één zijn 
A: 	ja 
A: 	ja 
B: 	wat 
B: 	ja nu zien ik hem ja ja ik hebben die gewoon omschrijven als isteken maar inderdaad Flappy bird kloppen ja I 
B: 	flappy bird 
A: 	ja dat zijn nummer twee 
B: 	even kijk waar zitten die o daar ja M 
A: 	nou dit zijn de mok met het isteken 
B: 	even kijken flappy bird 
B: 	damn flappy bird zijn echt een goed 
B: 	ja 
B: 	ja 
A: 	top dat zijn nummer negen 
B: 	ja 
B: 	ja F 
A: 	nou dit zijn de mok met het isteken 
B: 	flappy bird 
A: 	nummer zes 
