A: 	en zo'n schuin dakje 
A: 	aan de zijkant zo'n soort van 
A: 	ja 
A: 	nummer achten 
B: 	het zijn er zeggen maar één met een balk bovenop voor de rest zitten er niks bovenop 
B: 	zeggen maar liggen balk en links zitten nog ja een gek vorm een soort van pilonvorm half 
B: 	ja zoeits 
B: 	en rechts zitten ja ook nog een soort van staafje met een driehoek zijn het denken ik waar die op staan 
B: 	ja 
B: 	ja links en rechts zijn wel anders zeggen maar dat wel 
B: 	bovenop liggen alleen zeggen maar liggen soort van chocoladereep 
A: 	dit zijn degeen die eigenlijk nergens op lijken met die balk aan de bovenkant 
A: 	en zo'n schuin dakje 
A: 	ja 
A: 	één 
B: 	dat gek vormp ja soort van ja dat balkje er zo wat er op liggen eigenlijk 
B: 	ja zijn E 
A: 	dit zijn diegene nikszeggen met die balk bovenop 
B: 	die met dat liggen balkje bovenin en dan die spaceshuttle 
B: 	zoeken 
B: 	met dat blok bovenop dat liggen E 
A: 	ja 
A: 	ja zestien 
B: 	met die spaceshuttle dat blok liggen bovenop 
A: 	dit zijn die nikszeggen met die balk bovenop 
B: 	ja met dat liggen blok O 
