A: 	ja 
A: 	ja 
A: 	ja precies 
A: 	ja 
A: 	ja precies 
A: 	dat zijn vijf 
B: 	nou zijn ik weer lol ok dit zijn zeggen maar het staan op een vierkan staan dat bolle en 
B: 	ja er staan ook zeggen maar op dat ja dat dat zeggen maar standaard bollet zijn nog een rond voorop en achter zijn een soort van slinger 
B: 	ja 
B: 	ok bij mij A dan en ja ja 
A: 	ja dit zijn die dit zijn die figuur met die met die zes ruit zo aan de zijkant en die en dat rond voor zeggen maar 
B: 	o ja dat zijn J bij mij 
B: 	ok 
B: 	nou wel klikken 
A: 	ja precies dat zijn elf 
B: 	op dit zijn de pan met op het plateau met de slinger 
B: 	ok bij mij D 
A: 	ja dit zijn weer die die emmer met aan aan de beide kant die die drie ruit zeggen maar 
A: 	en aan de voorkant dat rond 
B: 	o die P 
A: 	ja precies 
A: 	en dat rond voorop 
A: 	ja 
A: 	dat zijn negen 
A: 	ja dit zijn die met die met die ruit aan de zijkant die drie 
B: 	o dit zijn weten het tafel met slinger zeggen maar 
B: 	ok bij mij K 
B: 	ok top 
B: 	o daar L 
B: 	ok 
