B: 	ok deze hebben zeggen maar aan de onderkant zo'n groot schroef erin en dan daaronder zitten een driehoekje en daarboven zitten zeggen maar dat object en dan twee vierkant 
A: 	die een beetje zo 
A: 	ja 
A: 	oké dan weten ik welk het zijn 
A: 	nummer vier 
B: 	ja dat zijn A 
A: 	ja dit zijn eigenlijk die hebben we ook al hebben weten je wel ? met die lang eigenlijk soort wijnglas scheef wijnglas als je het zo bekijken 
A: 	ja op dat voetstuk 
B: 	ok ja dit zijn met die schroef onderaan op dat driehoekje 
B: 	ja 
B: 	ja dat zijn L 
A: 	ah ja dat zijn nummer tien 
B: 	dit zijn met die schroef aan de onderkant op zo'n driehoek 
B: 	ja dat zijn F 
A: 	dat zijn dat wijnglas 
A: 	dat zijn nummer vier 
A: 	dit zijn dat wijnglas 
