B: 	met een soort van pionnetje bovenop 
B: 	die die waar het topje van missen dat zijn zijn dat nou een L of een I 
B: 	zitten er een I bij ? dat zijn een I 
A: 	ja 
A: 	dit ja ik vinden het een beetje op een vogel lijken met twee staaf aan de rechterkant 
A: 	soort van bek en dan bovenop zo'n punt 
A: 	en dan zo'n ja zo'n staafje naar links en dan dat ja gekronkelen staafje aan de onderkant 
B: 	deze hebben zegmaar een pilon en dan zijn dat bovenkan weer afsnijden en rechts twee blok eruit 
B: 	ja dat ja precies 
B: 	M 
A: 	ja die twee staaf en dat punt 
A: 	het staart en de vleugel 
A: 	dat zijn twee 
B: 	pilonne wat zo aan de bovenkant zijn afknipken en twee vierkant dinget rechts de istek 
A: 	ja dit zijn de de vogel met de snavel en de driehoek en het ja krulstaartje aan de linkeronderkant en 
B: 	F 
B: 	half pilonne wat af zijn snijden aan de bovenkant iste 
A: 	ja 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn de vogel 
A: 	het snui en de plat driehoek 
A: 	vogel vogel ja 
A: 	zes 
