A: 	even kijken horen 
A: 	kunnen je nog een keer herhalen 
A: 	ja 
A: 	ja ja ja ja 
A: 	ja 
A: 	ja 
A: 	ja ja 
A: 	dat zijn nummer zes 
B: 	even kijken 
B: 	ja dit doen me een beetje denken 
B: 	allereerst liggen er een balk bovenop 
B: 	maar echt een balk als een houten balk gewoon klein balkje die niet heel veel uitsteken 
B: 	dan hebben je aan de linkerkant ook iets wat een beetje lijken op een soort van tuitje 
B: 	waar eventueel water uit zullen kunnen lopen omdat dat zo naar beneden gaan 
B: 	en aan de rechterkant hebben je iets van een beetje onduidelijk maar iets van een staafje naar beneden met een blok eraan 
B: 	blok 
B: 	het hebben ver geen plateau 
B: 	nee nee nee er liggen zo zo'n balk bovenop 
B: 	gewoon een een houten balk eigenlijk een lang balk 
B: 	ja ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	hier hebben je de hoofdvorm linksonder zitten vastgeplakt een yoghurtbakje op zijn kop 
A: 	op de hoofdvorm liggen een staaf 
A: 	en rechts aan de hoofdvorm vast zitten toch een ja een klein staafje die rechtop staan 
A: 	ja 
A: 	ja 
A: 	nummer veertien 
A: 	dit zijn de hoofdvorm met linksonder op zijn kop een yoghurtbak 
A: 	op de hoofdvorm liggen een staaf 
A: 	een langwerpig staaf 
A: 	en rechts van de hoofdvorm hebben je een heel klein dun staafje dat rechtop staan op nog een soort van ja hoe zullen ik het noemen 
A: 	dus linksonder dat yoghurtbakje op zijn kop die zitten aan de hoofdvorm vast 
A: 	en op de hoofdvorm liggen een langwerpig staaf 
A: 	of een ja een staaf vierkant staaf 
A: 	met rechts nog een heel dun rond staafje 
A: 	ja de hoofdvorm 
A: 	ja 
A: 	okee 
B: 	wachten even kijken 
B: 	och 
B: 	aan die balk bovenop 
B: 	ja 
B: 	en op de beker zelf liggen zo'n soort van balk op 
B: 	okee 
B: 	ja dan zijn het d 
A: 	even kijken horen 
A: 	yoghurtbak zijn 
A: 	ja yoghurtbakje zitten linksonder 
A: 	en de staaf liggen zo er op 
A: 	ja nummer zeven 
B: 	dit zijn met het watertuit aan de linkerkant 
B: 	rechterkant lang opengeslagen boek met een balkje eruit 
B: 	en daarbovenop een balkje 
B: 	ja 
B: 	ja 
A: 	dit zijn het de hoofdvorm met daarop een langwerpig vierkantje met linksonder het yoghurtbak op zijn kop 
A: 	en rechtsonder hebben je nog dat heel dun staafje 
A: 	dus je 
A: 	ja 
B: 	ja 
B: 	Okee I 
B: 	aan de linkerzijde tui waar water uit kunnen komen 
B: 	een balk in het beker 
B: 	zo zo of ja erop eigenlijk soort van 
B: 	en dan aan de rechterkant lang uitslaan boek met een staafje erboven 
B: 	ah ja 
B: 	f 
