B: 	iets erbovenuit 
A: 	ja er steken weer een leeg balonnetje uiit 
B: 	teken van een voet 
B: 	ja 
B: 	één zo'n streepje erboven dat zijn eigenlijk ook aan de zijkant hetzelfde 
A: 	en je hebben een lang vierkant staaf zeggen maar 
A: 	en door de vierkant staaf zitten een bolle en aan het eind van de vierkant staaf zitten een rond 
B: 	hebben die zo hebben het zeggen maar zo'n kuifje erboven 
B: 	ja 
B: 	en zijn het dan zo ja zo'n eigenlijk dat het net lijken of dat er een neus zijn met een neuspiercing 
A: 	ja ja ja 
B: 	ja oké 
B: 	ja 
B: 	oké ja 
B: 	dan hebben ik hem 
B: 	F 
A: 	ja met dat rond en dat cirkelt 
A: 	ja vijf 
B: 	en dit zijn weer die met dat kuifje en dan met die neus met zo'n ding erdoorheen 
B: 	ja 
A: 	die dat met ballonnetje er in één en dan aan de voorkant die staaf met zo'n bolle er doorheen en aan de uiterst een rond 
A: 	jij zijn ja 
A: 	met die cirkel aan de ja 
A: 	ja vijf 
B: 	de neuspiercing dat zijn A 
B: 	de neuspiercing 
A: 	die een met dat ballonne er in en dan dat staafje aan de voorkant met een bolle en dat cirkelt 
B: 	waar zijn 
B: 	even kijken waar daar 
B: 	H 
A: 	vijftien 
B: 	de neuspiercing 
