A: 	deze hebben een groot driehoek bovenop 
A: 	zeggen en hij lijken een beetje rond te opgaan zeggen maar een kegel 
A: 	en aan de linkerkant zitten er een soort van kogel 
A: 	ook een kegel zeggen maar 
A: 	en dan linksonder zitten zo'n cirkel 
A: 	en dan en rechtsvoor zo'n groot blok 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	soort verrekijker 
B: 	ja 
B: 	ja 
B: 	meerdere vorm 
B: 	ik hebben hem denken ik al 
B: 	ja 
B: 	ik gaan voor b 
A: 	ja 
A: 	ja 
A: 	ja en dan zo'n kegel aan de linkerkant die eruit steken 
A: 	okee dat zijn veertien 
B: 	deze hebben een een één pyramidevorm bovenop 
B: 	en een soort verrekijker aan de linkerkant 
B: 	een rond schijf onderaan 
B: 	en een een object waar we allebei nog niet uit zijn komen aan de ander kant 
B: 	ja 
A: 	dit zijn weer die die driehoek bovenop zeggen maar die kegel die dimensionaal met dat groot raar blok aan de voorkant 
A: 	ja 
A: 	ja negen 
B: 	ja 
B: 	uhu 
B: 	ja dat zijn voor mij j 
B: 	pyramide op de bovenkant 
B: 	klein rond schijf aan de onderkant 
B: 	ondefinieerbaaren object aan rechterkant 
A: 	dit zijn weer met die driehoek erbovenop en dat raar groot blok rechtsvoor 
A: 	ja één 
B: 	ja dat zijn p 
B: 	ondefinieerbaaren object en pyramidevorm bovenop 
