A: 	oké dit zijn alsof het een beetje een serveerster zijn die zoiets vasthebben 
A: 	alleen dan voor jou zo denken ik 
A: 	en dan in de rechterarm zitten een soort spijker of zo of ze hebben een fakkel vast zoiets 
A: 	ja maar het zijn wel een cilinder die steeds klein worden naar beneden zeggen maar 
A: 	zo'n soort spijker vinden ik 
A: 	en die arm zijn ook ja een beetje zo'n hol 
A: 	ja 
A: 	ja ja ja 
A: 	een soort C zeggen maar 
A: 	ja 
A: 	ja 
A: 	ja ja ja ja ja ja ja 
A: 	even kijken 
A: 	met die met die spijker erin die Eiffeltoren inderdaad ja 
A: 	zeven 
B: 	nou ik weten totaal niet waar je het over hebben 
B: 	ja 
B: 	o zo'n plateau 
B: 	ja 
B: 	o dan de pacman ik zien de pacman 
B: 	ja 
B: 	ik denken je willen heel groot maar je hebben een lang 
B: 	ja ok dat zijn dan de L voor mij 
A: 	oeh dat zijn die Eiffeltoren en die arm en dat plateaut 
A: 	die ze vasthebben 
A: 	zo 
A: 	ja 
B: 	dit zijn weer met dat tablaut plateautje met die uitgereken pacman en die spijker 
A: 	ja 
A: 	even kijken 
A: 	één 
B: 	dat zijn voor mij C 
A: 	de Eiffeltoren 
A: 	de serveerster 
A: 	ja 
A: 	ja dertien 
B: 	ok dit zijn met het rond plateautje en de uitgerekt pacman en de spijker 
B: 	dat zijn voor mij A 
B: 	dit zijn met het rond tableau met een uitgerekt pacman en een spijker 
