A: 	deze hebben twee uitsteeksel met aan het einde van de uitsteeksel een soort 
A: 	ja knop of knoopje erop 
A: 	en aan de achterkant zitten een soort plankje schuin omhoog met een dinge eraan vast nog 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij K 
A: 	een schuin plaat zo erachter 
A: 	ja dat zijn bij mij negen 
B: 	deze hebben die soort zoutpot aan de zijkant 
B: 	en het kle aan de achterkant met nog iets eraan 
A: 	deze hebben twee die twee uitsteekselt met een rond aan het einde 
A: 	en dat vierkan zo schuin achter 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	ja ja 
A: 	dat zijn bij mij drie 
A: 	deze zijn die met die soort staaf erdoorheen en die rond dinget aan de uitein en die plank zo schuin 
A: 	ja 
B: 	deze zijn met die zout ding 
B: 	aan de zijkant 
A: 	ja dat zijn nummer vijf 
B: 	ja 
B: 	even kijken 
B: 	dat zijn bij mij L 
B: 	met die zoutpot 
