A: 	dit zijn die een met van die twee handvat een beetje uit zo'n fiets 
A: 	met een fietsmand 
A: 	en dan zo'n balk erachter 
A: 	dus het zijn gewoon dat kop met twee van die ding aan de zijkant er zitten een bal op 
A: 	er liggen een bal op 
A: 	en dan een balk 
B: 	dat zijn hem oké D 
B: 	ik moeten nu drukken 
B: 	ja oké 
A: 	en twee van die 
A: 	ja precies 
A: 	en een balk die er zo zullen ik maar zeggen tegenaan 
A: 	dat zijn vijftien 
B: 	oké dit zijn bolle bovenop en rechthoekig ding aan de voorkant 
B: 	rechthoekig staaf 
B: 	en dan aan de beide kant de armpjes 
B: 	ja 
A: 	dat zijn dat fietsmand weer met die bal erop en die twee 
A: 	even kijken waar staan 
A: 	dat zijn zes 
B: 	ja L 
A: 	dat fietsmand weer 
A: 	ja 
A: 	nummer drie 
B: 	oké 
B: 	dit zijn de het ei bovenop met die armp rechts links en aan de voorkant die paal 
B: 	ja J 
B: 	dit zijn de met de armp ei bovenop en de paal vooraan 
