A: 	even kijken het figuur zijn een een soort kopje waar het lijken alsof er een lepel uitsteken aan de bovenkant eigenlijk hetzelfde figuur ongeveer als wat we net hebben 
A: 	en aan de voorkant zitten een bolle en daaruit steken een ja soort staafje 
A: 	zoiets ja 
A: 	oké 
B: 	oké 
B: 	zijn het F 
B: 	want ik denken dat ik hem nu zien 
B: 	ja 
B: 	ik zien hem 
B: 	het zijn F 
B: 	het zijn weer het het kop met het bollet 
A: 	het dinge erdoor 
A: 	ja 
A: 	nummer vijf 
B: 	en er steken dan één door dat bollet steken dan een balk 
B: 	met een ja het zijn een beetje een spijker zo 
B: 	sprie aan de bovenkant 
B: 	oké 
A: 	dit zijn de het poppe met de neuspiercing 
B: 	zijn A 
A: 	nummer vijf 
B: 	nou dit zijn dan weer de die een met de spijker door de bol 
B: 	en het flup bovenop 
A: 	dit zijn de neuspiercing 
B: 	zijn H 
A: 	vijftien 
B: 	het zijn die een weer met de spijker door de bol 
