B: 	ja ja dat zijn ja ik weten hem 
B: 	J 
B: 	ik hebben een soort van zonnepaneel aan de achterkant weten je wel 
B: 	en een staaf aan de rechterkant en een gelijkwaardig staaf die wat kort en dikk zijn aan de linkerkant 
B: 	zonnepaneel zijn het ja f 
A: 	dan hebben we nu één met een een horizontaal achthoekig staaf met aan beide uiteinde rond , cirkel 
B: 	f 
A: 	en een beetje achter de staaf lijken er een een vierkant schuil te gaan met daar aan de onderkant een soort ja poo zullen ik zeggen 
A: 	die staaf zijn aan de linkerkant heel kort en aan de rechterkant lijken hij een stuk lang 
A: 	nee aan de rechterkant zijn alleen die ja het zijn een soort achthoekig staaf denken ik dat het zijn of in ieder geval een vierkant of zeshoekig misschien ik weten het niet precies 
A: 	aan de buitenkant zitten twee rond vorm 
A: 	ja 
B: 	okeeen ik hebben dat zonnepaneel aan de achterkant en die twee staf links en rechts 
B: 	zonnepaneel 
B: 	h 
A: 	ja 
A: 	en aan de achterkant dat vierkan 
A: 	ja nummer een 
B: 	ja f god 
B: 	de zonnepaneel aan de achterkant 
A: 	dit zijn weer volgens mij noemen we deze de gieter geloven ik dat zijn met die achthoekig staaf met die twee rond uiteinde 
A: 	ja 
A: 	ja 
A: 	de gieter even kijken hoor 
A: 	ja ja met die handvat zijn de gieter hè ? zo noemen we die toch 
A: 	en het bak toch ? en het de driehoek zonder uh , punt , omgekeerd driehoek 
A: 	of zitten ik verkeerd 
A: 	ah dat zijn die 
A: 	ja met die rond ja ja en aan de achterkant dat vierkan dat zo ja precies nummer veertien 
A: 	dit zijn de gieter noemen we die geloven ik 
A: 	met die acht hoekig staaf en die twee ronde 
A: 	ja 
A: 	twee ballet rechts 
A: 	ja dat ja dat ding , ja nummer dertien 
