B: 	spits driehoek 
B: 	ja 
B: 	ja en een soort wiele eronder ja 
B: 	ja J en bij jou 
B: 	J vijftien 
A: 	oké dus dat bakkie weer 
A: 	bovenop zitten een soort piramide puntig dinge 
A: 	die staan een beetje aan de achterkant het lijken alsof die hol zijn er zitten schaduw in zeggen maar 
A: 	aan de voorkant zitten een veel vierkantig uitstulpsel 
A: 	ja zo'n dartpijl 
B: 	dit zijn met die spits driehoek op op de bovenkant 
B: 	ja met de ja 
B: 	ja ja ja 
B: 	hij staan rechtsonder 
B: 	H 
A: 	ja 
A: 	ja ja 
A: 	ja 
A: 	nummer zes 
B: 	driehoek op het hoofd even kijken die spits driehoek 
B: 	ja ja oké E 
B: 	bij jou 
B: 	E zestien 
A: 	dit zijn die een met dat piramidedinge op de bovenkant die een beetje hol lijken 
A: 	en dat die zo dat pijl aan de zijkant steken krijgen 
B: 	dit zijn die met die spits punt op het het driehoek spits driehoek 
B: 	ja kogel aan de zijkant 
B: 	A 
A: 	ja 
A: 	nummer tien 
B: 	welk bedoelen je 
B: 	ja de G 
B: 	ja G 
B: 	G dertien 
B: 	dit zijn met die spits driehoek op het hoofd 
B: 	of op het hoofd op de bovenkant 
B: 	K 
A: 	dit zijn die raar met dat pijl wat zo in de zijkant steken en dat driehoekje erbovenop 
A: 	ja 
A: 	en zo'n 
A: 	ja 
A: 	yes 
A: 	nummer tien 
