B: 	ja en bovenop zo'n kegel die zeggen maar waarvan de kop er af zijn snijden zo'n plat dat ding wat zo omhoog lopen met een plat bovenkant 
B: 	o en dan die staaf die er echt zo doorheen zitten 
B: 	ja ok dan zijn het K 
A: 	ik hebben er nu één met zo'n soort staaf met twee bollet aan de zijkant erdoorheen 
A: 	en ja het lijken een soort zon ja een soort scherm of zo erachter of ik weten niet hoe je dat zien maar zo'n soort plaat erachter met een 
A: 	ja 
B: 	ja hier hebben je weer die soort cilinder of zo die er doorheen gaan en dan dat soort plateautje met dat ding dat er achter hangen 
B: 	ja Hangsel dat het net lijken of hij omhoog en omlaag kunnen of zo 
A: 	ja 
A: 	en die uitsteeksel met zo'n bolle aan de zijkant ja 
A: 	negen zijn dat bij mij 
B: 	ja ja ik zijn hem even aan het zoeken ja ja dus die met die met die cilinder waar dan ook van die bollet aan de zijkant zitten ja ja dat zijn dan F 
A: 	dit zijn met twee van die staf naar buiten en die bollet erop en een soort zonnescherm noemen ik het net 
A: 	erachter 
B: 	ja zelfde plek 
B: 	ja hier hebben je weer die cilinder die er doorheen gaan met dat pateau dat lijken alsof het omlaag en omhoog kunnen 
B: 	ja ja 
B: 	ja 
B: 	dat zijn dan L 
A: 	ja even kijken ik weten welk je bedoelen daar 
A: 	waar zitten die ? ja 
A: 	even kijken nummer drie zijn dat bij mij 
B: 	ja dit zijn diegene met die cilinder doorheen met dat plateau en met dat aanhangsel waardoor het lijken alsof je hem naar beneden kunnen trekken of zo 
B: 	ja die cilinder die dan die er doorheen gaan en aan beide kant zitten nog een soort top of bolle of zo er bovenop 
B: 	ja 
A: 	ik hebben nu die een met die met dat zonnescherm erachter noemen ik net en die twee uitstekend ding met die bollet eraan 
A: 	ja ik zijn even aan het zoeken 
A: 	waar waar ? daar 
A: 	ja 
A: 	een beetje ja 
