A: 	starten maar 
B: 	ik zien een zoals al plaat een blauw kop 
A: 	ja 
B: 	en daar steken een soort lepeltje bovenuit aan de rechterkant 
B: 	aan de linkerkant bovenin zitten een 
B: 	half rond inderdaad 
A: 	aan de onderkant 
B: 	maar er zitten ook aan de linkerkant nog een uitstekend balk 
A: 	ovaal komen 
A: 	ja 
A: 	en zitten er ook nog een klein raar dinge op 
A: 	oké 
A: 	zijn het dertien 
A: 	dat moeten ik zeggen toch 
A: 	ja tuurlijk 
A: 	dertien 
B: 	en onderin ook nog 
B: 	ja oké dat zijn O 
A: 	ja beker er zitten aan de achterkant zitten er dus een cirkel 
A: 	gaan een balk doorheen 
A: 	ja 
A: 	ja precies 
B: 	dit zijn geloven ik ook weer het één plaa waar ik mee beginnen met dat citroen 
B: 	er 
B: 	ja een lepeltje en links nog een uitsteeksel en onderin ook nog 
A: 	ja 
A: 	ja alles zitten bij mij helemaal hier 
A: 	ja ik zien hem 
A: 	dat zijn acht 
B: 	ja dat zijn C 
B: 	en dit zijn weer met dat citroen 
B: 	boven het kop 
B: 	half citroen 
B: 	en het lepel en aan de linkerkant dat uitsteeksel en aan de onderkant 
A: 	zitten een rond achter 
A: 	en er zitten een cilinder doorheen 
B: 	ja dat zijn C 
B: 	Hallo 
A: 	met het rond aan de achterkant even kijken horen 
A: 	ja 
A: 	dat zijn zeven 
A: 	oké 
A: 	er zitten een half rond zitten erachter 
A: 	rond 
A: 	kunnen een half rond zien er zitten een balk doorheen en beneden zijn een 
A: 	ja 
A: 	wat 
A: 	ik hebben nu al honger ik beginnen honger aan het krijgen 
