B: 	ja volgens mij weten ik hem al 
B: 	c 
A: 	oké nou ja deze hebben jij hebben jij volgens mij net over , dat zijn diegene die er net in hoekje eronder 
A: 	ja met het draaien poot 
A: 	ja ja hebben je hem al aangekliken 
A: 	want volgens mij het zijn wel degeen met zo'n soort van zo'n ding erboven waar nog twee ding uitsteken zegmaar 
A: 	en en aan de rechterkant dan nog twee van die ander ding die uitsteken 
A: 	die met die hoek zegmaar aan de onderkant 
A: 	ja ja ja 
A: 	ja 
A: 	ja precies 
A: 	denken al dit 
B: 	die ruit met die twee uitstekend ding bovenop 
B: 	die soort van vleugel wat je zeggen 
B: 	onderaan zitten zo gehoekken staafje 
B: 	die een negentig graad eigenlijk naar jou toekomen 
B: 	en aan de rechterkant ook zo'n een negentig graad die ook alleen aan de zijkant zitten die 
B: 	ja ja ja 
A: 	ja 
A: 	ja die 
A: 	ja en aan de rechterkant nog twee dinget 
A: 	ja ja dat zijn dertien 
B: 	okee 
B: 	een ruit met twee ja ja b 
B: 	ik hebben die ruit bovenop met die twee vleugel die twee dos die groot worden 
A: 	oké dit zijn weer niet de draaien maar die ander onderin 
A: 	ja precies 
B: 	ja 
B: 	dat zijn p 
B: 	de de ruit met de vleugel aan de bovenkant 
A: 	ja die hoek 
A: 	ja 
A: 	ja ja dat zijn zeven 
A: 	dit zijn weer met die haak eronder in plaats van de draaien 
A: 	ja ja ja waar zijn hij 
A: 	dat rond poo 
A: 	die hoek , of 
A: 	ja ja ja oké 
A: 	ja dat zijn een 
