A: 	ok deze vinden ik denken ik wel moeilijk uit te aanleggen maar het zijn een gewoon die mok weten je wel en dan zijn hij aan vier verschillend kant zijn er iets in steken 
A: 	dus 
A: 	nee aan de onderkant zitten niks 
A: 	als in er zitten vanaf 
A: 	ja er zitten twee ovaal ding in 
A: 	nee 
A: 	nee er zitten zo'n vierkant weten je wel zo'n en 
A: 	nee geen ei 
A: 	geen ei even kijken hoor 
A: 	punthoofd het zijn ja het zijn net je kunnen het zien als pinoccio of zo of een 
A: 	dit zijn echt 
B: 	oké 
A: 	boven zijn geen vierkant boven zijn wel iets ronds een rond uitsteeksel boven 
A: 	nee nee als in gewoon wat zullen het zijn gewoon een ja 
A: 	gewoon een cilinder alleen dan met een uitlopen ja gewoon een rondachtig een heel uitgerken rond zeggen maar 
B: 	ja die hebben soort van die torent zo 
B: 	ja ja ja ja 
B: 	ja 
B: 	en dan hebben die nog zo'n soort antenne erop 
B: 	en een vierkan aan de zijkant 
B: 	ja 
A: 	ok en daarvan zitten er ok ik zullen je wachten boven 
B: 	dus je hebben zo die verrekijker met twee van die torent zo toch ? of bedoelen je die een een verrekijker 
A: 	nee Bovenin zitten hetzelfde als iets wat aan de linkerkant daarvan staan 
B: 	ja nee dan weten ik ja en dan zo één zo één zo en dan zo nog zo'n slurfarmp aan de achterkant 
A: 	dus het zijn een mok en Bovenin zitten iets steken en dat zitten aan de linkerkant er ook in steken 
B: 	ja dat zijn voor mij E 
A: 	ja 
A: 	spijker en dan daarachter zitten zo'n knokkel ding 
A: 	ja precies dat zijn hem dat zijn hem 
A: 	jajajaen ik denken een beetje clownachtig hoofd maar deze vinden ik wel lastig om te beschrijven op zich 
A: 	met die vier vier met die vier 
A: 	ja ja hetzelfde zijn 
A: 	ja ok elf 
B: 	oké nu hebben ik die met dat een verrekijker en die twee staaf zo 
A: 	o dat zijn die een met die die waar ik niet uit thuiskomen weten je wel met die twee dezelfde ding en met die wonkel arm 
A: 	met dat weten je nog daar hebben ik toen moeite mee 
A: 	nee geen ei met dat heel uitgerekt ei misschien weten je wel misschien net zoals de waar je een schroevendraaier mee vasthouden weten je wel 
A: 	jajajaja 
B: 	ja 
B: 	dat zijn bij mij 
B: 	met die staaf zo 
B: 	ja 
B: 	staan ik nog op dat kruis ? ja 
B: 	J 
A: 	dat zijn wel goed omschrijving ja negen 
B: 	oké nu hebben ik met die een verrekijker en die twee ja Ronde uitsteeksel 
A: 	die robot hoe noemen we die ook alweer gewoon moeilijk te beschrijven 
B: 	ik zitten gewoon te kijken welk we nog niet hebben hebben 
B: 	ja 
B: 	even kijken waar staan die 
B: 	daar dat zijn bij mij B 
A: 	ok 
A: 	vier 
B: 	ik hebben die met één verrekijker en die twee staaf daaruit 
B: 	en met die staart zeggen maar 
