A: 	ja 
A: 	ja twee van zo'n die naar link wijzen die steeds dikk worden 
A: 	ja 
A: 	twaalf 
B: 	deze hebben een plat vierkant aan de voorkant 
B: 	en link staan twee sterrenkijker 
B: 	en 
B: 	ja ja 
A: 	aan de voorkant zitten een groot vierkant plateaut 
A: 	of vierkant vlak en aan de bovenkant komen er een soort van spijker uit en aan de zijkant twee 
A: 	die 
A: 	ja 
B: 	ja 
B: 	en een spijker 
B: 	dat zijn e 
A: 	ja 
A: 	ja 
A: 	een 
B: 	deze hebben een de spijker erin en een vierkant aan de voorkant en links twee verrekijer of sterrenkijker 
A: 	zo'n spijkervorm dinge bovenop 
A: 	twee pixeldinge aan de zijkant 
A: 	oké 
B: 	ja dat zijn c 
B: 	de spijker bovenop en links twee sterrenkijker 
A: 	ja zeven 
B: 	ja dat zijn k 
B: 	zeggen ik het goed ? ja k 
A: 	met de spijker en aan de linkerkant twee pixel dinge 
