A: 	ja 
B: 	aha nou ik ik krijgen nu het rood vierkantje te zien 
B: 	jij niet denken ik dan 
B: 	kijk zoals ik het zelf aanpakken hebben ik zijn ook wel benieuwd hoe jij dat doen hebben toen zijn dat ik heel erg let op een bepalen object wat er heel erg uitsteken 
A: 	zitten er een driehoek op 
A: 	er zitten geen okee een ovaal standaard 
B: 	en zo hebben ik ze bij de vorig test ook invullen 
B: 	waar let jij op op het moment dat je een object zien 
B: 	ja misschien ook toevallig dinget met gezicht enzo ? hebben je daar ook een beetje 
A: 	daar zitten een rond 
A: 	ja 
B: 	niet echt 
B: 	okee 
A: 	een cactus ? dat vinden ik niet maar gewoon zo maar 
A: 	ja okee ja 
B: 	ja 
B: 	nou goed ik gaan deze gewoon proberen om om hem zo duidelijk mogelijk te beschrijven 
A: 	en het staan zeggen maar op zo'n ovaal ding ja zo'n pilvorm zijn het 
A: 	ja inderdaad en dan zo'n stok aan de zijkant en een rond ja 
B: 	ik kijken ook vaak naar de plaat bijvoorbeeld te opzicht van de ander als er iets ander missen en dit hebben echt één significant ding 
A: 	okee 
A: 	ja dan zijn het nummer een bij mij 
B: 	goed deze die ik vinden het allemaal een beetje op koffiekop lijken deze ook staan op een nek 
B: 	en hebben voor mij zeggen maar aan de linkerkant een soort pinokkio-neus 
B: 	en en een soort schijf 
B: 	ja 
B: 	ja precies 
B: 	ja 
A: 	even kijken deze staan op die pilvorm 
A: 	met die dat cactusding erin en het rond aan de achterkant en de staaf erin 
A: 	link 
B: 	een toiletpot 
A: 	ja 
B: 	ik moeten deze nog even zien uitfiekelieren 
B: 	ja ja ja 
A: 	ja en dan nog zo'n ding link 
B: 	kunnen je hem nog een keer omschrijven 
A: 	yes kijken nummer veertien 
B: 	ja 
B: 	ja ik weten welk je bedoelen 
B: 	dan gaan ik voor f 
A: 	dit zijn die op die pilvormig standaard met nog een rond erachter en een cactusding erin 
B: 	nou deze die staan op een USB-C poort 
A: 	ja dat zijn twaalf 
B: 	met een ja met een neus naar naar links en een schijf aan de achterkant 
B: 	en een lepeltje 
A: 	dit staan op die pilvormig onderkant 
A: 	met het lepeltjeding erin 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij f 
B: 	deze die hebben een USB-C poor 
B: 	kunnen je hem al vinden 
B: 	zijn die er nog 
B: 	yes 
B: 	ja 
B: 	dat zijn f 
