B: 	zijn het een soort van zijn aan de zijkant 
B: 	een isteken 
B: 	of dat niet 
B: 	en die staan bovenop of waar 
B: 	twee daarvan 
B: 	oké wachten dan 
B: 	ja 
B: 	en aan de zijkant dezelfde 
B: 	ongeveer 
B: 	ja inderdaad ja oké ik dat zijn E bij mij 
A: 	dit zijn net diegene die ik beschrijven met die bowlingkegel op zijn kop 
A: 	en zo'n ander bowlingkegel naar de linkerkant 
A: 	en aan de achterkant zitten een soort worm 
A: 	en aan de rechterkant zitten een soort wolkenkrabber 
B: 	weer die een met dat langwerpig ding aan de bovenkant en hetzelfde aan de linkerkant 
B: 	en één keer die legoblok 
B: 	oké 
B: 	ja precies ja ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	ja met die regenpijp 
B: 	ja dat zijn de J bij mij 
B: 	zo mooi 
A: 	dit zijn die een raar weer met die kegel aan de bovenkant kegel aan de linkerkant dat blokjesding aan de rechterkant en die pijp aan de achterkant 
A: 	kegel bovenop 
A: 	ja met die vier 
B: 	oké het zijn weer die één keer die legoblok aan de zijkant en dan dat langwerpig dingetje hier en hetzelfde aan de en de regenpijp 
B: 	yes 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	ja 
B: 	dat zijn B bij mij die regenpijp ook 
B: 	die zijn echt goed 
A: 	dit zijn die een met die raar kegel en het pijpje en de blok 
B: 	awesome 
B: 	weer dat een legoblok aan de zijkant en dan dat steeksel of dat flieber en dat flieber en de regenpijp 
B: 	dat zijn hem 
B: 	ja dat doen dat zijn wel een goed 
A: 	ja 
A: 	zijn nummer vier 
