B: 	ja ik weten welk je bedoelen 
B: 	D 
A: 	ja nu hebben ik deze ja ook weer vier ding hij hebben een een rond bal bovenop 
A: 	en een langwerpig staaf ervoor 
A: 	en twee soort van hand aan de zijkant 
A: 	ja 
B: 	dit zijn met een bal bovenaan en die twee armp zo en dan dat ding aan de voorkant 
B: 	ja 
A: 	ja 
A: 	we zijn nu allemaal steeds we we zijn nu op één zes denken ik 
A: 	want ze zijn nu al figuur zijn nu van plek wisselen 
A: 	dus 
A: 	ja 
A: 	en volgens mij doen we het zes keer 
A: 	ja dat zijn nummer vijftien 
B: 	ja ik weten welk je bedoelen 
B: 	L 
B: 	dit zijn weer met die bal bovenop en die pilaar en de twee armp 
A: 	ik hebben die één met die armp zo bal erbovenop balk ervoor 
A: 	dus niet die met die armp met die stomp eraan maar veel die dun armpjes en een rond bal erbovenop 
A: 	ja en een balk echt 
B: 	ja 
B: 	waar zijn die 
B: 	J 
A: 	welk hebben ja ja zes 
B: 	dit zijn weer met dat bollet bovenop en die twee dun armpjes en de pilaar 
A: 	twee van die klein armpjes bal erop balk ervoor 
A: 	ja de bal erbovenop en zo'n balk ervoor 
A: 	nummer drie 
