B: 	en zitten er link nog twee dinget 
B: 	oké dan zijn het E 
A: 	oké ik hebben nu een soort van ik noemen het een uitdijen kubus 
A: 	aan de rechterkant 
A: 	en aan de achterkant steken een soort van buigen stang uit die je half zien 
A: 	en links en bovenop zitten weer zo'n soort van pluim zeggen maar 
A: 	ja 
A: 	ja wel echt een kubus zeggen maar niet een plat vierkant maar wel echt een 3Dfiguur 
A: 	ja 
A: 	ja 
B: 	deze hebben een soort ja 
B: 	kegel erop die er ook voor zitten en dan rechts die blok weer die steeds een klein blok en dan een groot blok en dan nog groot blok 
B: 	en links aan de zijkant nog 
B: 	dat zijn ongeveer dezelfde kegel 
B: 	volgens mij zijn het één van de één die we hebben 
B: 	ja rechts in elkaar gestapeld blok 
B: 	en links boven dat kegelding zitten nog een klein raar fru 
A: 	ja 
A: 	oké dat zijn nummer elf 
B: 	ja dat zijn bij mij J 
B: 	deze hebben weer die twee kegel en die blok die 
B: 	ja 
A: 	deze hebben links en bovenaan weer diezelfde soort van pluim en dan achteraan die buigen buis die uitsteekken en 
A: 	rechts die kubus die zo uitdijt 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	B 
B: 	deze zijn weer met die twee ding die zo gaan 
B: 	en die 
B: 	ja 
A: 	ik hebben nu die een met rechts die uitdijen kubus en links en bovenop dezelfde pluim zeggen maar en 
A: 	links uit of ja of achter die stang 
A: 	ja 
A: 	dat zijn nummer vier 
