B: 	een soort van 
B: 	een helling zijn het 
B: 	ja 
B: 	m 
B: 	ik hebben bovenop hebben je die half pyramide 
B: 	en dan rechtsvoor zitten zo'n zo'n zo'n helling 
B: 	onderaan zitten een soort van balle of ik weten niet precies wat het zijn 
B: 	en aan de linkerkant zitten een een soort een kogel lijken het wel ja en steeds bred van 
B: 	ja 
B: 	J 
A: 	deze hebben een lijken wel rondvormig driehoek op de op de top van de emmer 
A: 	aan de linkerkant lijken een soort ja ja een soort kogel misschien wel , tegen de emmer aan te opzitten 
A: 	links aan de voet links aan de onderkant zijn er een cirkelvormig uitsteeksel 
A: 	en een beetje rechts van het midden , aan de voorkant , lijken er een 
A: 	ja 
A: 	bovenop een driehoek ja 
A: 	ja 
B: 	ik hebben de de half pyramide bovenop 
B: 	en dan de de kogel aan de linkerkant 
B: 	en de aan de rechtsvoor zitten zo'n soort van een een sloop laten maar zeggen 
B: 	ja ja ja waar zitten die 
B: 	zijn die 
A: 	ah ja 
A: 	ja 
A: 	en links ook een 
A: 	ja 
A: 	kogel , kijkglas , ik weten niet vreemd telescoopachtig ding 
A: 	nummer drie 
B: 	de half pyramide aan de bovenkant en dan de kogel aan de linkerkant 
A: 	deze zijn met een driehoekje bovenop 
A: 	een heel scherp driehoek 
A: 	of ja 
A: 	en een kogel links ja 
A: 	ja 
A: 	nummer twaalf 
A: 	deze hebben een ja deze hebben de puntig of de de driehoek bovenop en link die die kogel 
A: 	ja nummer veertien 
