B: 	okee link zitten een soort van staafje en aan de achterkant zitten een een een cirkelt 
B: 	zitten aan de achterkant die zien je niet zo die zien je maar voor de helft 
A: 	jij hebben hem 
B: 	en onderaan zitten een soort van een 
B: 	ja wat zijn het bovenaan zitten trouwens rechtsbovenaan 
A: 	zeshoekig uitsteeksel aan de linkerkant 
B: 	ja nee nee nee ja iets bread worden inderdaad 
B: 	ja ja een beetje rond 
A: 	en zo'n soort van deksel erachter 
B: 	en aan de achterkant zitten zo'n half zijn een die schijf die je maar voor de helft zien 
A: 	ja oké 
A: 	dan weten ik hem , twaalf 
B: 	ja 
B: 	ja 
B: 	h 
A: 	oké ja deze hebben zegmaar een soort van ja één ja die hebben iets aan de onderkant 
A: 	gewoon ja hij staan bovenop iets maar hij zitten wel vast aan 
A: 	en aan de linkerkant zijn het ook zo'n zegmaar ik weten niet een zeshoekig een cilinder zegmaar aan de linkerkant wat uitsteken 
A: 	en weer zo'n soort met deksel erachter weer 
B: 	okee dit zijn die half schijf of die schijf aan de achterkant die je half zien 
B: 	ja die rond schijf 
B: 	ja 
A: 	oké 
A: 	schijf 
A: 	ja 
A: 	oké wachten dit zijn 
A: 	aan de linkerkant hebben hij die schijf 
A: 	wachten 
A: 	zeshoekig balk 
A: 	aan de linkerkant 
A: 	ja oké 
A: 	en maar dan zitten dan weer met zo'n deksel erachter 
A: 	oké ja dat zijn elf 
A: 	moeten ik drukken 
B: 	gek 
B: 	ja ja ja g 
B: 	ik hebben de de cirkel die je voor helft zien aan de achterkant 
A: 	ja dit zijn weer met dat deksel aan de achterkant en die ja zeshoekig cilinderachtig aan de rechterkant 
A: 	link 
B: 	ja 
B: 	dat zijn d 
A: 	ja 
A: 	ja dat zijn negen 
A: 	ja dit zijn weer met die deksel erachter 
A: 	en zo'n zeshoekig 
A: 	ja 
