A: 	even kijken wat zijn dit ook alweer ? ja er zitten twee van die haak zo 
A: 	en die hebben een lang stok 
A: 	één één haak onder 
A: 	dat zijn eigenlijk de enig met een haak onder echt zo'n 
A: 	even kijken ik weten namelijk niet of we het over hetzelfde hebben 
A: 	ik denken het niet want daar zijn er nog ander van 
A: 	hij hebben bovenop hebben die zo'n soort van zo'n ruit met uitsteeksel 
A: 	oké ja oké dat zijn de olifant goed om te weten 
B: 	ja 
B: 	o eigenlijk zo'n slurfje zo 
B: 	ja en aan de bovenkant een soort van vierkan inderdaad met aan beide kant iets er uit steken 
B: 	en link zitten een soort van ja arm ja dat zijn M 
A: 	ja de stok zo naar voren ook 
A: 	of niet 
A: 	ja 
A: 	ja zo 
A: 	ja 
A: 	ja 
A: 	dan zijn het negen 
B: 	ja weten niet maken het wel makkelijk 
B: 	het zijn zegmaar die met zo'n vierkan bovenop die aan beide kant doorboren zijn aan de onderkant zitten weer zo'n gek 
B: 	glijbaan waar je het net over hebben en hij hebben een heel lang neus bij wijze van spreken 
A: 	dit zijn degeen die jij op een olifant vinden lijken 
A: 	ja 
A: 	ja elf 
B: 	ja en met die neus ja H 
A: 	dit zijn de olifant 
B: 	dat glijbaan onderin en bovenin zo'n vierkant wat doorboord zijn aan beide kant 
A: 	even kijken die olifant die zijn ja veertien 
B: 	even kijken 
B: 	even kijken met die arm 
B: 	dat bovenste vierkan wat doorboren zijn aan beide kant 
B: 	o ja dat ja sorry D 
B: 	dat glijbaan onderaan en doorbooren vierkant aan beide kant bovenaan 
